sample,Acidobacteria,Actinobacteria,Bacteroidetes,Firmicutes,Nitrospirae,Planctomycetes,Proteobacteria,Cyanobacteria,Verrucomicrobia,Fusobacteria,Synergistetes,Fibrobacteres,Deinococcus.Thermus,Spirochaetes,Aquificae,Deferribacteres,Chlorobi,Chloroflexi,Ignavibacteriae,Balneolaeota,Tenericutes
1001.SKB1,0.008474576,0.101694915,0.06779661,0.220338983,0.008474576,0.008474576,0.584745763,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB2,0,0.150442478,0.044247788,0.221238938,0,0,0.530973451,0.053097345,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB3,0,0.134453782,0.075630252,0.193277311,0,0.008403361,0.537815126,0.050420168,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB4,0,0.165354331,0.078740157,0.212598425,0,0,0.496062992,0.047244094,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB5,0,0.166666667,0.049019608,0.235294118,0,0,0.549019608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB6,0,0.181818182,0.036363636,0.245454545,0,0,0.536363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB7,0,0.163636364,0.236363636,0.090909091,0,0,0.509090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB8,0,0.153846154,0.153846154,0.153846154,0,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKB9,0,0.12,0.18,0.14,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKD2,0,0.161616162,0.050505051,0.303030303,0,0,0.484848485,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKD3,0.00952381,0.161904762,0.085714286,0.238095238,0,0,0.504761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1001.SKD6,0.006578947,0.171052632,0.098684211,0.203947368,0,0.006578947,0.513157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
